,Trip Names,Prices ,Discounted_Prices ,Discount,Duration
166,Ho Chi Minh & Hanoi 6D5N,N/A,39999 per person,0,6 Days 5 Nights
167,Georgia 5D4N,N/A,N/A,0,5 Days 4 Nights
168,Georgia 4D3N,N/A,N/A,0,4 Days 3 Nights
169,Azerbaijan & Georgia,N/A,N/A,0,14 Days 13 Nights
170,Azerbaijan 5D4N,N/A,N/A,0,5 Days 4 Nights
171,Azerbaizan 6D5N,N/A,N/A,0,6 Days 5 Nights
172,Maldives Angaga Island Resort,N/A,N/A,0,5 Days 4 Nights
173,Joy Island Maldives - The Cocoon Collection,N/A,N/A,0,4 Days 3 Nights
174,Cocoon Maldives - The Cocoon Collection,N/A,N/A,0,4 Days 3 Nights
175,Maldives Sun Siyam Olhuveli Resort,N/A,N/A,0,5 Days 4 Nights
176,Maldives Dhigufaru Island Resort,N/A,N/A,0,5 Days 4 Nights
177,Maldives Holiday Inn Kandooma,N/A,N/A,0,5 Days 4 Nights
178,Maldives Oblu Xperience Ailafushi,N/A,N/A,0,4 Days 3 Nights
179,Maldives Medhufushi Island Resort,N/A,N/A,0,5 Days 4 Nights
180,Adventure Bali Trip Package,N/A,N/A,0,7 Days 6 Nights
181,Best of Bali,N/A,N/A,0,7 Days 6 Nights
182,Enthralling Europe Tour,N/A,N/A,0,14 Nights 15 Days
183,Exquisite Baku Tour Package From India,N/A,59999 per person,0,5 Nights 6 Days
184,Majestic Baku Tour Package From India,N/A,49999 per person,0,4 Nights 5 Days
185,Almaty 5D4N Kazakhstan,N/A,39999 per person,0,5 Days 4 Nights
186,Ho Chi Minh & Hanoi 6D5N,N/A,39999 per person,0,6 Days 5 Nights
187,Georgia 5D4N,N/A,N/A,0,5 Days 4 Nights
188,Georgia 4D3N,N/A,N/A,0,4 Days 3 Nights
189,Azerbaijan & Georgia,N/A,N/A,0,14 Days 13 Nights
190,Azerbaijan 5D4N,N/A,N/A,0,5 Days 4 Nights
191,Azerbaizan 6D5N,N/A,N/A,0,6 Days 5 Nights
192,Hampta Pass Trek,8000,7500 per person,500,5 Days 4 Nights
193,Brahmatal Trek,7499,6999 per person,500,5 Days 4 Nights
194,Nag Tibba Trek,N/A,6000 per person,0,2 Days 1 Night
195,Roopkund Trek,N/A,15000 per person,0,8 Days 7 Nights
196,Saputara Group Trip,N/A,3499 per person,0,3 Days 2 Nights
197,Ratanmahal Trek From Vadodara,N/A,1200 per person,0,1 Day
198,Andharban Forest Trek,N/A,1999 per person,0,1 Day
199,Peb Fort Trek,N/A,1999 per person,0,1 Day
200,Devkund Waterfall Trek,N/A,1999 per person,0,1 Day
201,Harihar Fort Trek,N/A,1999 per person,0,1 Day
202,Harishchandragad Trek,N/A,1999 per person,0,1 Day
203,Jivdhan Fort Trek,N/A,1800 per person,0,1 Day
204,Kalsubai Trek,N/A,1800 per person,0,1 Day
205,Tarsar Marsar Trek,14250,13750 per person,500,7 Days 6 Nights
206,Ali Bedni Bughyal,N/A,10000 per person,0,6 Days 5 Nights
207,Bhrigu Lake Trek,6000,5500 per person,500,3 Days 2 Nights
208,Kashmir Great Lakes Trek,16000,15000 per person,1000,8 Days 7 Nights
209,Valley of Flowers Trek,9500,9000 per person,500,6 Days 5 Nights
210,Chadar Trek,N/A,17499 per person,0,9 Days 8 Nights
211,Snowboarding Course in Gulmarg,N/A,28000 per person,0,7 Days 6 Nights
212,Kashmir Great Lakes Trek,16000,15000 per person,1000,8 Days 7 Nights
213,Valley of Flowers Trek,9500,9000 per person,500,6 Days 5 Nights
214,Chadar Trek,N/A,17499 per person,0,9 Days 8 Nights
215,Snowboarding Course in Gulmarg,N/A,28000 per person,0,7 Days 6 Nights
216,Hampta Pass Trek,8000,7500 per person,500,5 Days 4 Nights
217,Brahmatal Trek,7499,6999 per person,500,5 Days 4 Nights
218,Nag Tibba Trek,N/A,6000 per person,0,2 Days 1 Night
219,Roopkund Trek,N/A,15000 per person,0,8 Days 7 Nights
220,Saputara Group Trip,N/A,3499 per person,0,3 Days 2 Nights
221,Ratanmahal Trek From Vadodara,N/A,1200 per person,0,1 Day
222,Andharban Forest Trek,N/A,1999 per person,0,1 Day
223,Peb Fort Trek,N/A,1999 per person,0,1 Day
224,Devkund Waterfall Trek,N/A,1999 per person,0,1 Day
225,Harihar Fort Trek,N/A,1999 per person,0,1 Day
226,Harishchandragad Trek,N/A,1999 per person,0,1 Day
227,Jivdhan Fort Trek,N/A,1800 per person,0,1 Day
228,Kalsubai Trek,N/A,1800 per person,0,1 Day
229,Tarsar Marsar Trek,14250,13750 per person,500,7 Days 6 Nights
